Term,Category,Confidence,Definition
MSL,Acronym,✅,Medical Science Liaison — a field-based scientific expert who engages with KOLs and HCPs on clinical/medical topics. Distinguished from sales reps in that they are non-promotional.
KOL,Acronym,✅,"Key Opinion Leader — a high-influence HCP (often academic, researcher, or specialist) whose endorsement or practice patterns shape broader prescribing behavior. MSLs prioritize KOL relationships."
HCP,Acronym,✅,"Healthcare Practitioner — any licensed clinician (physician, NP, PA, pharmacist, etc.) targeted by field reps. In Trellium specifically used as the AI-simulated interaction partner."
MIRF,Acronym,✅,"Medical Information Request Form — a formal document used by an HCP to request additional clinical/scientific information from a pharma company, typically answered by MSLs within a defined SLA."
MBTI,Acronym,⚠️,"Myers-Briggs Type Indicator — a personality typology framework (16 types based on 4 bipolar dimensions). Used in Trellium to randomly assign a personality type to simulated HCPs, varied within plausible range for each archetype. Note: MBTI's scientific validity as a psychometric instrument is contested."
SOP,Acronym,✅,"Standard Operating Procedures — a client's documented internal procedures governing how field reps conduct interactions (e.g., approved messaging, escalation paths, compliance rules). Ingested as a framework input."
LMS,Acronym,✅,"Learning Management System — a platform for hosting and tracking training content (e.g., Cornerstone, Workday Learning). The PRD explicitly states Trellium is NOT an LMS."
UAT,Acronym,✅,User Acceptance Testing — here referring to the client-side review phase where a Training Director or Manager enters each assembled scenario as a test user before it goes live to the field team. Not traditional software UAT.
VAD,Acronym,✅,"Voice Activity Detection — automatic detection of when a speaker starts and stops talking, enabling natural conversational turn-taking without a push-to-talk button. Governs when the AI HCP responds."
TRx,Acronym,✅,Total Prescriptions — total prescription volume including refills. Used alongside NRx to assess product adoption and retention.
MLR,Acronym,✅,"Medical-Legal Review — internal pharma review process in which Medical Affairs, Legal, and Regulatory evaluate promotional or external-facing materials for compliance. Trellium content is for internal training and is explicitly stated to not require MLR approval."
NRx,Acronym,✅,New Prescriptions — volume of new (non-refill) prescriptions written for a product in a given period. A leading lagging indicator of sales rep effectiveness.
SJT,Acronym,✅,Situational Judgment Test — a multiple-choice assessment format presenting realistic workplace scenarios with plausible response options. Forward-only (no back-navigation) to prevent gaming. Used in Trellium's baseline assessment.
SSO,Acronym,✅,Single Sign-On — an authentication mechanism letting users log in once (via a provider like Okta) and access multiple apps. The preferred auth method for enterprise Trellium clients; email/password is the fallback.
Ivy,Product,✅,"Trellium's AI guide and coaching persona — persistent across onboarding, learning content, simulation feedback, and reporting. Acts as a personal coach, report narrator, and natural language query interface for managers."
Education Continuum,Product,⚠️,A client-provided framework defining the ordered sequence of learning stages a field rep progresses through for a given product or role. Used to match scenario complexity to a rep's development stage. Exact structure/format unspecified.
Frameworks Engine,Process,⁉️,"The AI-powered pipeline that ingests client documents and generates the five client frameworks. Described as ""the difference between a consulting business and a software business."" Architecture, agent topology, and quality thresholds are not defined in this PRD."
Scenario,Product,✅,A single AI-powered practice interaction session. One of three variants per tactic. Layer 3 parameters are randomized at runtime so the same scenario yields a different conversation each time.
T0 Baseline,Product,✅,The external KPI values recorded at the time of Trellium deployment for a given client. Locked on first set and used as the denominator in ROI calculations. Cannot be retroactively modified.
Science & Messaging Accuracy Guidelines,Product,⚠️,"A client-provided document defining approved clinical messaging, off-label boundaries, and scientific accuracy standards for the product. Embedded in the HCP system prompt as compliance guardrails during simulation."
HCP Archetypes,Product,⚠️,"Personas representing the types of HCPs the client's reps actually encounter — capturing communication style, skepticism level, specialty context, and objection patterns. No schema or required fields are defined."
